date,province,region,variable,value,model
2019-01-01,Loei,east_northeast,no_tourist_all,212225.0,
2019-01-01,Si Sa Ket,south,no_tourist_all,185521.0,
2019-01-01,Surin,east_northeast,no_tourist_all,134324.0,
2019-01-01,Nong Khai,east_northeast,no_tourist_all,259265.0,
2019-01-01,Bueng Kan,east_northeast,no_tourist_all,65978.0,
2019-01-01,Udon Thani,east_northeast,no_tourist_all,282871.0,
2019-01-01,Ubon Ratchathani,east_northeast,no_tourist_all,316431.0,
2019-01-01,Sakon Nakhon,east_northeast,no_tourist_all,116238.0,
2019-01-01,Yasothon,east_northeast,no_tourist_all,59234.0,
2019-01-01,Amnat Charoen,east_northeast,no_tourist_all,21790.0,
2019-01-01,Nong Bua Lam Phu,east_northeast,no_tourist_all,36343.0,
2019-01-01,Bangkok Metropolis,central,no_tourist_thai,3534061.0,
2019-01-01,Lop Buri,central,no_tourist_thai,266301.0,
2019-01-01,Phra Nakhon Si Ayutthaya,central,no_tourist_thai,561553.0,
2019-01-01,Saraburi,central,no_tourist_thai,201400.0,
2019-01-01,Chai Nat,central,no_tourist_thai,78514.0,
2019-01-01,Nakhon Pathom,central,no_tourist_thai,284408.0,
2019-01-01,Sing Buri,central,no_tourist_thai,49190.0,
2019-01-01,Ang Thong,central,no_tourist_thai,98816.0,
2019-01-01,Nonthaburi,central,no_tourist_thai,293344.0,
2019-01-01,Pathum Thani,central,no_tourist_thai,172417.0,
2019-01-01,Samut Prakan,central,no_tourist_thai,199324.0,
2019-01-01,Samut Sakhon,central,no_tourist_thai,108832.0,
2019-01-01,Chachoengsao,east,no_tourist_thai,266707.0,
2019-01-01,Ratchaburi,central,no_tourist_thai,231887.0,
2019-01-01,Kanchanaburi,central,no_tourist_thai,707690.0,
2019-01-01,Samut Songkhram,central,no_tourist_thai,197952.0,
2019-01-01,Suphan Buri,central,no_tourist_thai,234233.0,
2019-01-01,Phetchaburi,central,no_tourist_thai,643367.0,
2019-01-01,Prachuap Khiri Khan,central,no_tourist_thai,511080.0,
2019-01-01,Chon Buri,east,no_tourist_thai,632916.0,
2019-01-01,Chanthaburi,east,no_tourist_thai,250149.0,
2019-01-01,Trat,east,no_tourist_thai,142674.0,
2019-01-01,Nakhon Nayok,east,no_tourist_thai,276249.0,
2019-01-01,Prachin Buri,east,no_tourist_thai,170721.0,
2019-01-01,Rayong,east,no_tourist_thai,581623.0,
2019-01-01,Sa Kaeo,east,no_tourist_thai,165131.0,
2019-01-01,Phuket,south,no_tourist_thai,357769.0,
2019-01-01,Phatthalung,south,no_tourist_thai,119521.0,
2019-01-01,Trang,south,no_tourist_thai,149399.0,
2019-01-01,Ranong,south,no_tourist_thai,103790.0,
2019-01-01,Chumphon,south,no_tourist_thai,105960.0,
2019-01-01,Pattani,south,no_tourist_thai,22345.0,
2019-01-01,Yala,south,no_tourist_thai,9567.0,
2019-01-01,Nakhon Si Thammarat,south,no_tourist_thai,373158.0,
2019-01-01,Narathiwat,south,no_tourist_thai,24265.0,
2019-01-01,Krabi,south,no_tourist_thai,185557.0,
2019-01-01,Songkhla,south,no_tourist_thai,532223.0,
2019-01-01,Phangnga,south,no_tourist_thai,151483.0,
2019-01-01,Surat Thani,south,no_tourist_thai,183500.0,
2019-01-01,Satun,south,no_tourist_thai,190827.0,
2019-01-01,Kamphaeng Phet,north,no_tourist_thai,72183.0,
2019-01-01,Chiang Rai,north,no_tourist_thai,386065.0,
2019-01-01,Chiang Mai,north,no_tourist_thai,841830.0,
2019-01-01,Phichit,north,no_tourist_thai,63777.0,
2019-01-01,Nakhon Sawan,north,no_tourist_thai,183487.0,
2019-01-01,Tak,north,no_tourist_thai,236008.0,
2019-01-01,Phitsanulok,north,no_tourist_thai,364864.0,
2019-01-01,Phayao,north,no_tourist_thai,77299.0,
2019-01-01,Phetchabun,north,no_tourist_thai,253752.0,
2019-01-01,Phrae,north,no_tourist_thai,74753.0,
2019-01-01,Lampang,north,no_tourist_thai,106656.0,
2019-01-01,Lamphun,north,no_tourist_thai,111305.0,
2019-01-01,Mae Hong Son,north,no_tourist_thai,113044.0,
2019-01-01,Uttaradit,north,no_tourist_thai,124175.0,
2019-01-01,Uthai Thani,north,no_tourist_thai,76374.0,
2019-01-01,Sukhothai,north,no_tourist_thai,107592.0,
2019-01-01,Nan,north,no_tourist_thai,111445.0,
2019-01-01,Kalasin,east_northeast,no_tourist_thai,61619.0,
2019-01-01,Khon Kaen,east_northeast,no_tourist_thai,631397.0,
2019-01-01,Chaiyaphum,east_northeast,no_tourist_thai,135391.0,
2019-01-01,Nakhon Phanom,east_northeast,no_tourist_thai,96871.0,
2019-01-01,Nakhon Ratchasima,east_northeast,no_tourist_thai,992396.0,
2019-01-01,Buri Ram,east_northeast,no_tourist_thai,180076.0,
2019-01-01,Maha Sarakham,east_northeast,no_tourist_thai,70956.0,
2019-01-01,Mukdahan,east_northeast,no_tourist_thai,203920.0,
2019-01-01,Roi Et,east_northeast,no_tourist_thai,83928.0,
2019-01-01,Loei,east_northeast,no_tourist_thai,209451.0,
2019-01-01,Si Sa Ket,south,no_tourist_thai,183092.0,
2019-01-01,Surin,east_northeast,no_tourist_thai,130719.0,
2019-01-01,Nong Khai,east_northeast,no_tourist_thai,188092.0,
2019-01-01,Bueng Kan,east_northeast,no_tourist_thai,65700.0,
2019-01-01,Udon Thani,east_northeast,no_tourist_thai,265790.0,
2019-01-01,Ubon Ratchathani,east_northeast,no_tourist_thai,297757.0,
2019-01-01,Sakon Nakhon,east_northeast,no_tourist_thai,115844.0,
2019-01-01,Yasothon,east_northeast,no_tourist_thai,57363.0,
2019-01-01,Amnat Charoen,east_northeast,no_tourist_thai,20972.0,
2019-01-01,Nong Bua Lam Phu,east_northeast,no_tourist_thai,36182.0,
2019-01-01,Bangkok Metropolis,central,no_tourist_foreign,2425014.0,
2019-01-01,Lop Buri,central,no_tourist_foreign,2363.0,
2019-01-01,Phra Nakhon Si Ayutthaya,central,no_tourist_foreign,168776.0,
2019-01-01,Saraburi,central,no_tourist_foreign,5836.0,
2019-01-01,Chai Nat,central,no_tourist_foreign,559.0,
2019-01-01,Nakhon Pathom,central,no_tourist_foreign,11699.0,
2019-01-01,Sing Buri,central,no_tourist_foreign,248.0,
2019-01-01,Ang Thong,central,no_tourist_foreign,5281.0,
2019-01-01,Nonthaburi,central,no_tourist_foreign,30373.0,
2019-01-01,Pathum Thani,central,no_tourist_foreign,60878.0,
2019-01-01,Samut Prakan,central,no_tourist_foreign,209328.0,
2019-01-01,Samut Sakhon,central,no_tourist_foreign,421.0,
2019-01-01,Chachoengsao,east,no_tourist_foreign,3731.0,
2019-01-01,Ratchaburi,central,no_tourist_foreign,4553.0,
2019-01-01,Kanchanaburi,central,no_tourist_foreign,45211.0,
2019-01-01,Samut Songkhram,central,no_tourist_foreign,3799.0,
2019-01-01,Suphan Buri,central,no_tourist_foreign,1748.0,
2019-01-01,Phetchaburi,central,no_tourist_foreign,70307.0,
2019-01-01,Prachuap Khiri Khan,central,no_tourist_foreign,127972.0,
2019-01-01,Chon Buri,east,no_tourist_foreign,937411.0,
2019-01-01,Chanthaburi,east,no_tourist_foreign,6956.0,
2019-01-01,Trat,east,no_tourist_foreign,81544.0,
2019-01-01,Nakhon Nayok,east,no_tourist_foreign,2456.0,
2019-01-01,Prachin Buri,east,no_tourist_foreign,13125.0,
2019-01-01,Rayong,east,no_tourist_foreign,69188.0,
2019-01-01,Sa Kaeo,east,no_tourist_foreign,34620.0,
2019-01-01,Phuket,south,no_tourist_foreign,1333007.0,
2019-01-01,Phatthalung,south,no_tourist_foreign,797.0,
2019-01-01,Trang,south,no_tourist_foreign,24316.0,
2019-01-01,Ranong,south,no_tourist_foreign,7054.0,
2019-01-01,Chumphon,south,no_tourist_foreign,10583.0,
2019-01-01,Pattani,south,no_tourist_foreign,154.0,
2019-01-01,Yala,south,no_tourist_foreign,43417.0,
2019-01-01,Nakhon Si Thammarat,south,no_tourist_foreign,10962.0,
2019-01-01,Narathiwat,south,no_tourist_foreign,42389.0,
2019-01-01,Krabi,south,no_tourist_foreign,378823.0,
2019-01-01,Songkhla,south,no_tourist_foreign,242563.0,
2019-01-01,Phangnga,south,no_tourist_foreign,384791.0,
2019-01-01,Surat Thani,south,no_tourist_foreign,357114.0,
2019-01-01,Satun,south,no_tourist_foreign,20079.0,
2019-01-01,Kamphaeng Phet,north,no_tourist_foreign,2238.0,
2019-01-01,Chiang Rai,north,no_tourist_foreign,67226.0,
